animal,ch,bf,isi_cv,sync_n,r_max,r,d_max,d,sfr,br,bdur_max,bdur,nspikes_burst_max,nspikes_burst,p_bursting_time,p_bursting_spike,ibi_cv
0,1,6275.0,0.9376276182906642,4,0.09030692581893542,0.035434208467798836,0.0,0.0,2.938888888888889,0.05555555555555555,0.07979008000000931,0.030523391999998494,5.0,3.2,0.0016957439999999164,0.06049149338374291,0.9272122533359335
0,2,4594.0,1.0188909070924477,7,0.10453733796247588,0.04226930064142366,0.0,0.0,1.5055555555555555,0.06666666666666667,0.14852096000001325,0.053527893333334,6.0,3.3333333333333335,0.003568526222222267,0.14760147601476015,0.8514858689896893
0,3,2219.0,1.030934062071111,6,0.040903901834877056,0.021856492624301425,0.0,0.0,0.6611111111111111,0.011111111111111112,0.04915199999999942,0.03813375999999957,3.0,3.0,0.0004237084444444397,0.05042016806722689,
0,4,3731.0,1.188422694421632,9,0.15173928646575144,0.034074611413917044,0.7500530989087167,0.11669351060776229,0.43333333333333335,0.0,,,,3.0,,,
0,8,3731.0,1.0281623174094672,7,0.07156056314661677,0.0362147765493847,0.30018849656114377,0.04288407093730625,0.6388888888888888,0.044444444444444446,0.29155328000000225,0.14445567999999892,6.0,4.25,0.006420252444444397,0.2956521739130435,1.1861935860149369
0,9,3731.0,1.335434820464441,9,0.15173928646575144,0.033870434137847814,0.7500530989087167,0.19998825423218103,4.533333333333333,0.0,,,,4.25,,,
0,10,6275.0,1.004880177200584,6,0.09030692581893542,0.035336367721061586,0.7500530989087167,0.32499513336083435,0.8888888888888888,0.044444444444444446,0.13967360000000006,0.04499455999999724,6.0,3.625,0.0019997582222220996,0.18125,0.4863580718891078
0,11,2732.0,0.9999871045615055,4,0.03550849557597001,0.026151025300977255,0.44960487652668957,0.29981439228661455,0.9888888888888889,0.016666666666666666,0.1998028799999929,0.17522687999999897,3.0,3.0,0.002920447999999983,0.05056179775280899,0.45788477311063075
0,12,3731.0,1.1163137232790534,9,0.06245148800456891,0.020887354051959305,0.7496526926197686,0.11664902102010138,0.3888888888888889,0.011111111111111112,0.4535910400000063,0.2946252800000031,6.0,4.5,0.0032736142222222564,0.12857142857142856,
0,16,3731.0,1.1054909567092621,6,0.10453733796247588,0.03849321051088578,0.7500530989087167,0.17504026591164343,0.6055555555555555,0.06666666666666667,0.16932863999997494,0.05628586666666524,5.0,3.3333333333333335,0.003752391111111016,0.3669724770642202,1.345838304841673
0,17,7726.0,1.0321726154651016,7,0.02984691802485934,0.01643037607189483,0.0,0.0,0.5166666666666667,0.011111111111111112,0.24027136000000837,0.18051072000000445,6.0,4.5,0.002005674666666716,0.0967741935483871,
0,18,7726.0,1.006016643886638,7,0.03072330244348684,0.016220219089834242,0.0,0.0,0.6555555555555556,0.016666666666666666,0.4997120000000024,0.2322705066666669,4.0,3.3333333333333335,0.003871175111111115,0.0847457627118644,0.3029580616206043
0,19,6275.0,1.0747328994590417,7,0.029176584448085047,0.01629127744594512,0.30010621850643465,0.042872316929490666,0.6722222222222223,0.022222222222222223,0.26673152000000755,0.1482956799999986,4.0,3.25,0.0032954595555555245,0.10743801652892562,1.073092673319386
0,20,6963.0,0.9943757424822635,8,0.03723111842759893,0.019987736238059765,0.1500126541662927,0.037503163541573174,0.49444444444444446,0.016666666666666666,0.2605875200000014,0.18898944000000326,5.0,3.6666666666666665,0.003149824000000054,0.12359550561797752,0.5920178946586659
0,24,7726.0,1.0324056587012673,5,0.010336745928758561,0.007897817517971532,1.7998120100349198,0.7800261289730444,0.5444444444444444,0.011111111111111112,0.1867775999999992,0.16646143999999907,3.0,3.0,0.0018495715555555453,0.061224489795918366,
0,25,7726.0,0.9151153010936821,6,0.02840294982815702,0.014594910680883833,0.30010621850643465,0.07501981211212122,0.6611111111111111,0.022222222222222223,0.35078143999999867,0.2260582400000004,4.0,3.25,0.005023516444444454,0.1092436974789916,0.776147814982816
0,26,7726.0,1.0699806181163547,8,0.03072330244348684,0.016769152045179724,1.7998120100349198,0.41251127501534973,0.6111111111111112,0.0,,,,3.25,,,
0,27,6963.0,0.8900923308247783,5,0.020429338338358347,0.017697080821053184,0.15009356434014182,0.09002377453454544,0.6277777777777778,0.016666666666666666,0.7001702400000056,0.3722171733333397,5.0,3.6666666666666665,0.006203619555555662,0.09734513274336283,0.41026547908831107
0,28,6275.0,0.924228304162057,5,0.03723111842759893,0.019631191366896904,0.30010621850643465,0.15006120027060224,0.5944444444444444,0.0,,,,3.6666666666666665,,,
0,32,6963.0,0.9376276182906642,7,0.030807554004068226,0.021310383592312028,0.15009356434014182,0.12860539219220776,5.538888888888889,0.05555555555555555,0.07979008000000931,0.030523391999998494,5.0,3.2,0.0016957439999999164,0.0320962888665998,0.9272122533359335
1,1,15997.0,1.2180298879234792,5,0.0214291244197008,0.011621548585612292,0.0,0.0,0.3,0.016666666666666666,0.6120243200000033,0.4000972799999971,3.0,3.0,0.006668287999999952,0.16666666666666666,0.25005466914768476
1,2,15997.0,0.9733256380750619,7,0.045250694491648445,0.02035093691677404,0.0,0.0,0.4111111111111111,0.0,,,,3.0,,,
1,3,15997.0,0.9004804017365025,5,0.2637843827634716,0.0821760750031997,0.0,0.0,14.366666666666667,0.07777777777777778,0.012943360000001292,0.010485759999999329,3.0,3.0,0.0008155591111110589,0.016241299303944315,0.7712338472117714
1,4,15997.0,1.0704421299004894,7,0.14271840375697892,0.051977238823974974,0.0,0.0,17.16111111111111,0.15,0.04997120000000166,0.011848059259259292,7.0,3.3703703703703702,0.0017772088888888939,0.02945937196503723,0.9758071262642464
