animal,loc,ch,bf,bf_deviation,isi_cv,sync_n,r_max,r,d_max,d,sfr,br,bdur_max,bdur,nspikes_burst_max,nspikes_burst,p_bursting_time,p_bursting_spike,ibi_cv,group
B1,2,10,7464.0,500.0,0.9265537688958193,6,0.069470796684454,0.02808193981400355,0.19995324252227534,0.033325540420379225,1.157407361416171,0.014467592017702138,0.1002700799999996,0.07491583999999474,3.0,3.0,0.0010838518087833743,0.0375,,ET
B1,2,11,7464.0,500.0,0.9494470855131029,7,0.05515395751749983,0.022975016668194286,0.19995324252227534,0.02856474893175362,3.479455880257364,0.06510416407965962,0.15409152000000859,0.05059925333333363,6.0,3.3333333333333335,0.0032942220913216164,0.062370062370062374,0.8406004334786165,ET
B1,2,12,7464.0,500.0,0.9251330510784549,3,0.05091688624216771,0.034983178466959926,0.19995324252227534,0.06665108084075845,4.116029929036258,0.04340277605310641,0.04481023999999678,0.03283626666666706,3.0,3.0,0.0014251851285534333,0.03163444639718805,0.5768525147005827,ET
B1,2,13,7464.0,500.0,0.9050843050594326,9,0.12453252218166057,0.03269611438552444,1.0000966403216283,0.17777292976538384,3.6458331884609385,0.021701388026553206,0.07225343999999723,0.05163690666666495,4.0,3.6666666666666665,0.001120592548064208,0.021825396825396824,0.5057849638473603,ET
B1,2,14,6964.0,0.0,1.1000365368236784,6,0.028847936268837804,0.0161915345726756,0.29987903200732646,0.13328432939558252,1.8229165942304693,0.06510416407965962,0.23953407999999854,0.0917959111111107,5.0,3.2222222222222223,0.005976296058819601,0.11507936507936507,0.7503658829299266,ET
B1,2,15,6498.0,-466.0,0.7561583054911788,5,0.05412762958369733,0.019689622046967708,1.1000240379583344,0.27997954796044544,0.520833312637277,0.0,,,,,,,,ET
B1,2,16,8574.0,1610.0,1.0495131416227714,4,0.07263542526806337,0.02809429601402857,0.20001943096521396,0.07498972036708883,0.7016782128585537,0.007233796008851069,0.22765567999999803,0.22765567999999803,4.0,4.0,0.0016468147493762617,0.041237113402061855,,ET
B1,2,17,9189.0,2225.0,0.9284685838261296,4,0.0488456516528841,0.027124981761240948,0.30012930332366067,0.1500380592082391,0.8825231130798303,0.0,,,,,,,,ET
B1,2,18,9189.0,2225.0,1.0085485332669022,3,0.08695332554699199,0.04035216743594909,0.2000834830061545,0.16670213883848342,2.003761494451746,0.04340277605310641,0.09854975999999738,0.06227285333332885,4.0,3.3333333333333335,0.002702814707414413,0.07220216606498195,1.2954065879682144,ET
B1,2,19,13929.0,6965.0,0.969244554581036,3,0.011742755686703651,0.009970085612992332,1.1000240379583346,0.4000166276146346,4.651330833691238,0.04340277605310641,0.04071423999999979,0.030801920000001815,3.0,3.0,0.0013368888357657783,0.027993779160186624,0.4842557924777636,ET
B1,2,20,10556.0,3592.0,0.8608134208450418,1,0.03839416323114767,0.03839416323114767,0.40002843096154944,0.40002843096154944,13.46932816848069,0.0,,,,,,,,ET
B1,2,21,10556.0,3592.0,0.9346896426180228,4,0.04639577420759806,0.02783002892403703,0.3000229335092957,0.17504747488040118,7.2554973968776215,0.07233796008851069,0.035471360000002505,0.021192704000001682,4.0,3.1,0.0015330369761197425,0.03090727816550349,0.8122213002991423,ET
B1,2,22,9189.0,2225.0,0.9581799285155533,3,0.0710629883496025,0.032660763459420504,0.09993945050314124,0.033313150167713745,0.3761573924602556,0.0,,,,,,,,ET
B1,2,23,7464.0,500.0,1.066087559925555,3,0.05494850511470272,0.030160936529545813,0.20001943096521393,0.20001943096521393,0.49189812860187265,0.014467592017702138,0.24543231999999904,0.16203776000000047,3.0,3.0,0.0023442962031423415,0.08823529411764706,,ET
B1,2,24,8574.0,1610.0,0.9667930283324705,4,0.05494850511470272,0.025773259198896063,0.4000687538268019,0.15002204619800397,0.47019674057531946,0.014467592017702138,0.21577728000000462,0.18239487999999326,3.0,3.0,0.002638814709957642,0.09230769230769231,,ET
B1,2,25,9189.0,2225.0,1.0149003176364382,2,0.0710629883496025,0.050172841815645686,0.30012930332366067,0.15006465166183033,2.30034713081464,0.04340277605310641,0.04882431999999426,0.033696426666663136,3.0,3.0,0.001462518460403103,0.05660377358490566,0.8567129809413114,ET
B1,2,26,8574.0,1610.0,1.0217532898677415,5,0.04639577420759806,0.02483838232151902,0.4000687538268019,0.23999870437033524,2.9007521995492787,0.0,,,,,,,,ET
B1,2,27,13929.0,6965.0,1.0608988130846886,1,0.03839416323114767,0.03839416323114767,0.40002843096154944,0.40002843096154944,4.87557850996562,0.13020832815931924,0.20299776000001657,0.04475107555555555,8.0,3.611111111111111,0.005826962731420266,0.09643916913946587,0.9329045556464727,ET
B1,2,28,13929.0,6965.0,0.951906091275928,1,0.011742755686703651,0.011742755686703651,0.0,0.0,15.03182810639252,0.19531249223897884,0.02392064000000005,0.01098031407407538,5.0,3.185185185185185,0.0021445925073743976,0.04138594802694899,0.963135229040148,ET
B1,2,29,10556.0,3592.0,0.9653863246532036,4,0.08695332554699199,0.03073137874709347,0.699995606996785,0.3000255058780588,1.6131365099737882,0.028935184035404276,0.09715711999999144,0.07272447999999798,3.0,3.0,0.0021042962126790192,0.053811659192825115,0.08432274371035725,ET
B1,2,30,11314.0,4350.0,1.060971716704757,4,0.0488456516528841,0.030703662716063656,0.4000687538268019,0.35009902857523134,0.6655092328142983,0.0,,,,,,,,ET
B1,2,31,8574.0,1610.0,1.0251831748943474,3,0.07263542526806337,0.03938958796390909,0.20001943096521396,0.06667314365507132,0.8969907050975325,0.014467592017702138,0.07872512000000143,0.055214079999998944,3.0,3.0,0.0007988147830727519,0.04838709677419355,,ET
B8,7,0,12996.0,3147.0,1.13588093591561,10,0.06956105218292527,0.03876962442141875,1.1999585726857087,0.8499978823207199,0.41232637250451093,0.036168980044255346,0.4602265599999953,0.2918809600000003,3.0,3.0,0.010557036617538103,0.2631578947368421,0.46911393032583915,ET_T
B8,7,1,5657.0,-4192.0,0.8830193900974271,12,0.04006914219449231,0.028185483054465613,1.5000529946407215,0.6916514583578568,0.4846643325930216,0.014467592017702138,0.48766975999999573,0.4298342399999946,4.0,3.5,0.006218666419558987,0.1044776119402985,,ET_T
B8,7,2,6063.0,-3786.0,0.8951018183045785,5,0.030591656740206877,0.019005542778333818,1.1999879591869265,0.4999882366659504,0.4629629445664684,0.0,,,,,,,,ET_T
B8,7,3,7464.0,-2385.0,1.106828720075443,1,0.023923315755938483,0.023923315755938483,0.0,0.0,0.6510416407965962,0.014467592017702138,0.19988479999999953,0.16969728000000472,3.0,3.0,0.002455111013553833,0.06666666666666667,,ET_T
B8,7,4,6964.0,-2885.0,0.9352962227104554,4,0.0760900417789568,0.036815602412841056,1.0001035786367167,0.32500518559689595,0.2748842483363406,0.0,,,,,,,,ET_T
B8,7,5,5657.0,-4192.0,0.9224289115744186,8,0.0422880025368205,0.028558409393306356,1.5000529946407215,0.7124813090098701,0.40509257649565983,0.0,,,,,,,,ET_T
B8,7,6,6964.0,-2885.0,1.0278795851161944,10,0.09715406171675933,0.035255158267386615,1.2001739626333952,0.6599961206185794,0.36168980044255344,0.014467592017702138,0.5197004799999974,0.2999910399999983,3.0,3.0,0.004340147975686139,0.12,,ET_T
B8,7,7,13929.0,4080.0,1.008940228741013,12,0.04131987628100726,0.02304428591925518,1.2999826106440433,0.6833526100543774,0.5135995166284258,0.0,,,,,,,,ET_T
B8,7,8,16001.0,6152.0,0.827399832232913,9,0.08337440189979023,0.047342510262681166,1.5000529946407217,1.044519347309486,0.3255208203982981,0.0,,,,,,,,ET_T
B8,7,9,5657.0,-4192.0,0.9104599684886083,9,0.09703921483420483,0.04573994275611578,1.5000529946407215,0.6333167191198844,0.4340277605310641,0.0,,,,,,,,ET_T
B8,7,10,5657.0,-4192.0,0.8503622749744849,10,0.0653659192451599,0.036686214592451256,1.5000529946407215,0.6099724155543403,0.3761573924602556,0.0,,,,,,,,ET_T
B8,7,11,6964.0,-2885.0,1.2444707721834096,3,0.0760900417789568,0.042443298454466614,0.29987903200732646,0.16658780418584537,0.3761573924602556,0.0,,,,,,,,ET_T
