animal,avg_ibi,avg_spikes_burst,bf,bfr,group,max_spikes_burst,max_sync_bf_dist,max_sync_coef,mean_sync_bf_dist,mean_sync_coef,p_bursting_spikes,p_bursting_time,sfr,sync_n
B1,4.576707796616987,3.323529411764706,8717.0,0.2213541578708427,ET,5.0,10420.0,0.014903816658891773,2016.0,0.012040819158523293,3.1929923707261936,0.1744801730124087,23.04036366779154,9
B1,63.506309032440186,3.0,7856.0,0.013020832815931924,ET,3.0,,0.0,,0.0,2.6548672566371683,0.12042667859090651,1.4713541082003074,0
B1,15.057653745015463,3.0,7080.0,0.04557291485576173,ET,3.0,,0.0,,0.0,12.0,0.3656797586608029,1.1393228713940433,0
B1,,,7080.0,0.0,ET,,,0.0,,0.0,0.0,0.0,0.09765624611948942,0
B1,,,8717.0,0.0,ET,,,0.0,,0.0,0.0,0.0,0.052083331263727696,0
B1,,,10732.0,0.0,ET,,9244.0,0.06325610401925817,2342.866666666667,0.033937774710626374,0.0,0.0,69.53124723707647,15
B1,28.656394243240356,3.1666666666666665,9672.0,0.039062498447795774,ET,4.0,3191.0,0.05642333828141599,1613.0,0.026204171131177123,1.1557177615571776,0.06271976107479091,10.70312457469604,6
B1,7.2361123919487,3.1904761904761907,9672.0,0.1367187445672852,ET,5.0,2015.0,0.013315327317035604,1201.6666666666667,0.011127539159458962,2.2635135135135136,0.13613343318766621,19.270832567579248,6
B1,4.583451307181156,3.235294117647059,9672.0,0.2213541578708427,ET,5.0,9244.0,0.016365392679117494,2691.75,0.010736316007534347,2.653159671972986,0.149492323667116,26.992186427426876,12
B1,31.506585657596588,3.2,14661.0,0.03255208203982981,ET,4.0,,0.0,,0.0,6.666666666666668,0.29983975664417917,1.5624999379118307,0
B1,6.27147435148557,3.08,13213.0,0.16276041019914905,ET,4.0,,0.0,,0.0,5.6204379562043805,0.27440006064772365,8.919270478913367,0
B1,14.356070386038887,3.4,10732.0,0.06510416407965962,ET,5.0,,0.0,,0.0,3.2945736434108532,0.18704029919543666,6.718749733020872,0
B1,5.691296428442001,3.08,,0.16276041019914905,ET,4.0,,0.011764809918008587,,0.011764809918008587,2.9056603773584904,0.13528034174321724,17.252603481109798,1
B1,7.195736062526703,3.0952380952380953,10732.0,0.1367187445672852,ET,4.0,11725.0,0.06325610401925817,2934.3333333333335,0.02683679296317169,1.3300593411090649,0.07560026221075605,31.816404985729655,9
B1,13.381244724447077,3.3333333333333335,8717.0,0.07812499689559155,ET,4.0,11725.0,0.0413206228838534,2760.6666666666665,0.01602407695033059,0.5512679162072767,0.03458652507915,47.239581456201016,12
B1,26.335379457473756,3.3333333333333335,7856.0,0.039062498447795774,ET,4.0,2876.0,0.035108114055663775,2678.5,0.023233280434787996,4.08997955010225,0.18690649919086696,3.1835936234953555,2
B1,,3.0,9672.0,0.006510416407965962,ET,3.0,,0.0,,0.0,2.9702970297029703,0.15855999033411383,0.6575520572045621,0
B1,,,8717.0,0.0,ET,,,0.0,,0.0,0.0,0.0,0.0,0
B1,,,8717.0,0.0,ET,,,0.0,,0.0,0.0,0.0,0.0,0
B1,,,8717.0,0.0,ET,,,0.0,,0.0,0.0,0.0,0.11718749534338731,0
B1,,,8717.0,0.0,ET,,,0.0,,0.0,0.0,0.0,0.019531249223897887,0
B1,4.867020468558034,3.15625,11908.0,0.20833332505491078,ET,5.0,11725.0,0.015577574896502208,4776.0,0.012591678313756566,2.184256055363322,0.11895969037375091,30.10416547043461,6
B1,,3.0,10732.0,0.006510416407965962,ET,3.0,10420.0,0.035108114055663775,3273.0,0.018227468459986615,0.046189376443418015,0.0025333525227168195,42.28515456973892,10
B1,10.320110936959585,3.230769230769231,11908.0,0.0846354133035575,ET,4.0,11725.0,0.03240034956794423,3067.1,0.020666737340720137,0.8729993764290168,0.04933324136005873,31.32161333872424,10
B1,6.012387323379516,3.1153846153846154,10732.0,0.169270826607115,ET,4.0,11725.0,0.02280737314391223,3184.0,0.013481595656179984,1.7355903149775018,0.09407971922239783,30.384113375977144,9
B1,8.265115883615282,3.210526315789474,1488.0,0.12369791175135328,ET,4.0,11725.0,0.011764809918008587,3041.3333333333335,0.009887896538802066,0.8661081925315917,0.052106409436209616,45.852862761304266,14
B1,12.942183321172541,3.25,8717.0,0.07812499689559155,ET,4.0,955.0,0.006685658587483383,955.0,0.006685658587483383,3.7037037037037033,0.1656802615749732,6.855468477588158,1
B1,7.937539226130435,3.35,10732.0,0.13020832815931924,ET,5.0,1060.0,0.010019322827369686,1060.0,0.010019322827369686,5.342902711323764,0.27631998205900266,8.164062175589317,1
B1,5.767731987513029,3.111111111111111,9672.0,0.17578124301508097,ET,4.0,2015.0,0.012287520443798588,1018.0,0.009027076526054707,3.697183098591549,0.17599978095293917,14.791666078898665,5
B1,4.962928286914168,3.1666666666666665,13213.0,0.19531249223897884,ET,5.0,11725.0,0.044193110253386965,3273.0,0.018074060886633075,3.047802374077639,0.16725311012057026,20.292967943629904,10
B1,5.16527351017656,3.2333333333333334,11908.0,0.19531249223897884,ET,4.0,11725.0,0.027400079036863575,3011.6363636363635,0.014604647241066351,2.065587734241908,0.1194404080235796,30.572915451808157,11
B1,,3.0,8717.0,0.006510416407965962,ET,3.0,,0.0,,0.0,2.479338842975207,0.12485325461215756,0.7877603853638814,0
B1,,,8717.0,0.0,ET,,,0.0,,0.0,0.0,0.0,0.17578124301508097,0
B6,,,18049.0,0.0,ENT,,,0.0,,0.0,0.0,0.0,0.019531249223897883,0
B6,6.647180000940959,3.5,16267.0,0.026041665631863848,ENT,5.0,,0.0,,0.0,8.484848484848486,0.3194399051094093,1.0742187073143836,0
B6,,,14661.0,0.0,ENT,,,0.0,,0.0,0.0,0.0,0.0,0
B6,,,16267.0,0.0,ENT,,,0.0,,0.0,0.0,0.0,0.06510416407965962,0
B6,,,,0.0,ENT,,,0.0,,0.0,0.0,0.0,0.006510416407965962,0
B6,32.88920068740845,3.5,16267.0,0.013020832815931924,ENT,4.0,,0.0,,0.0,16.666666666666664,0.594426543735403,0.2734374891345704,0
B6,,,16267.0,0.0,ENT,,,0.0,,0.0,0.0,0.0,0.3059895711744002,0
B6,,,14661.0,0.0,ENT,,,0.0,,0.0,0.0,0.0,0.0,0
B6,,,13213.0,0.0,ENT,,,0.0,,0.0,0.0,0.0,0.0,0
B6,,,13213.0,0.0,ENT,,,0.0,,0.0,0.0,0.0,0.44270831574168545,0
B6,,,16267.0,0.0,ENT,,,0.0,,0.0,0.0,0.0,0.006510416407965962,0
B6,,3.0,14661.0,0.006510416407965962,ENT,3.0,,0.0,,0.0,42.857142857142854,2.336586577481565,0.04557291485576173,0
B6,,,16267.0,0.0,ENT,,,0.0,,0.0,0.0,0.0,0.013020832815931924,0
B6,,3.0,14661.0,0.006510416407965962,ENT,3.0,,0.0,,0.0,14.285714285714285,0.021279943882229174,0.1367187445672852,0
B6,,,18049.0,0.0,ENT,,,0.0,,0.0,0.0,0.0,0.026041665631863848,0
B6,32.42080934842428,3.0,14661.0,0.026041665631863848,ENT,3.0,,0.0,,0.0,5.633802816901409,0.23946661792331467,1.3867186948967498,0
B6,,,16267.0,0.0,ENT,,,0.0,,0.0,0.0,0.0,0.0,0
B6,16.47509503364563,3.3333333333333335,16267.0,0.019531249223897887,ENT,4.0,,0.0,,0.0,12.5,0.27808018165508186,0.520833312637277,0
B6,,,16267.0,0.0,ENT,,,0.0,,0.0,0.0,0.0,0.006510416407965962,0
B6,37.83841788768768,3.0,18049.0,0.019531249223897887,ENT,3.0,,0.0,,0.0,12.162162162162163,0.44010655447417285,0.4817708141894812,0
B6,,,16267.0,0.0,ENT,,,0.0,,0.0,0.0,0.0,0.013020832815931924,0
B6,,,16267.0,0.0,ENT,,,0.0,,0.0,0.0,0.0,0.10416666252745539,0
B6,,,14661.0,0.0,ENT,,,0.0,,0.0,0.0,0.0,0.11718749534338731,0
B6,,,16267.0,0.0,ENT,,,0.0,,0.0,0.0,0.0,0.013020832815931924,0
B6,,,16267.0,0.0,ENT,,,0.0,,0.0,0.0,0.0,0.3059895711744002,0
B6,,,14661.0,0.0,ENT,,,0.0,,0.0,0.0,0.0,0.019531249223897883,0
B6,,,16267.0,0.0,ENT,,,0.0,,0.0,0.0,0.0,0.44270831574168545,0
B6,,3.0,16267.0,0.006510416407965962,ENT,3.0,,0.0,,0.0,3.448275862068966,0.0029865961576860684,0.5664062274930386,0
B9,5.476775774588952,3.3333333333333335,5751.0,0.17578124301508097,ET,7.0,1957.0,0.02080277685620424,752.0,0.014603213200369988,2.705953096812989,0.13071996571739652,21.65364497289479,4
B9,6.0021466172259785,3.3333333333333335,3794.0,0.1562499937911831,ET,6.0,2962.0,0.025926690933936593,1280.5,0.014240471387929372,1.6416991586291814,0.1034399763866275,31.725259156018133,10
B9,,,5751.0,0.0,ET,,,0.0,,0.0,0.0,0.0,0.3710937352540598,0
B9,,3.0,5751.0,0.006510416407965962,ET,3.0,,0.0,,0.0,6.666666666666667,0.24328007327397375,0.29296873835846826,0
B9,23.214919686317444,3.3333333333333335,7080.0,0.019531249223897887,ET,4.0,,0.0,,0.0,6.666666666666667,0.329280103821353,0.9765624611948943,0
B9,8.604114937782288,3.727272727272727,4210.0,0.07161458048762558,ET,5.0,2332.0,0.006633433461344801,1554.6666666666667,0.006178252308507229,7.509157509157509,0.4363201074771043,3.554687358749415,3
B9,23.34893670082092,3.1666666666666665,5751.0,0.039062498447795774,ET,4.0,2962.0,0.015089926163703927,1205.3333333333333,0.009892754768607955,3.0995106035889073,0.1376800494817873,3.9908852580831344,9
B9,20.472463369369507,3.6,5751.0,0.03255208203982981,ET,4.0,2332.0,0.013456162301157605,1429.6666666666667,0.009326413913863059,3.040540540540541,0.15815983208378823,3.854166513515849,3
B9,9.71377870241801,3.1875,3081.0,0.10416666252745539,ET,5.0,2670.0,0.015088012640387945,1799.1666666666667,0.009711180390206034,3.837471783295711,0.22306649369730575,8.652343406186763,6
B9,6.860747337341309,3.0454545454545454,3419.0,0.14322916097525115,ET,4.0,2332.0,0.025926690933936593,1445.5714285714287,0.013526378114899618,3.195040534096328,0.15751970305960564,13.652343207504622,7
B9,10.595061755180359,3.3636363636363638,3794.0,0.07161458048762558,ET,4.0,1957.0,0.012863350355488473,1482.4,0.008169122424759983,5.763239875389408,0.26493301183251494,4.179687333914147,5
B9,15.018311685985989,3.0,3419.0,0.06510416407965962,ET,3.0,2962.0,0.027855681451684832,1205.5,0.010550929801812225,2.3455824863174355,0.10296019005933642,8.326822585788465,10
B9,7.700464913719578,3.1,6381.0,0.13020832815931924,ET,4.0,2962.0,0.012554739732181625,1884.4,0.010017289744573976,3.901825047199497,0.19917310355412549,10.345051672257913,5
B9,17.695825894673664,3.142857142857143,5751.0,0.04557291485576173,ET,4.0,2670.0,0.012111320080406766,1198.5,0.00788475934190737,1.8596787827557058,0.08400001539786595,7.701822610623733,8
B9,,,5751.0,0.0,ET,,,0.0,,0.0,0.0,0.0,0.345052069622196,0
B9,,3.0,6381.0,0.006510416407965962,ET,3.0,,0.0,,0.0,4.838709677419355,0.0312533217170508,0.40364581729388965,0
B9,6.182901309884113,3.25,4210.0,0.1562499937911831,ET,6.0,2962.0,0.027855681451684832,1356.0,0.011546377752707268,2.5974025974025974,0.1344533273298213,19.550780473121783,8
B9,15.479080975055695,3.3333333333333335,4210.0,0.058593747671693654,ET,5.0,2962.0,0.010788158401040148,1626.0,0.007678672452917461,3.8860103626943006,0.1954934482080361,5.026041466949723,6
B9,,,13213.0,0.0,ET,,,0.0,,0.0,0.0,0.0,0.07812499689559155,0
B9,,3.0,11908.0,0.006510416407965962,ET,3.0,,0.0,,0.0,11.11111111111111,0.5102134106968478,0.17578124301508097,0
B9,,3.0,14661.0,0.006510416407965962,ET,3.0,,0.0,,0.0,8.823529411764707,0.3082132775798131,0.2213541578708427,0
B9,,,13213.0,0.0,ET,,,0.0,,0.0,0.0,0.0,0.24088540709474057,0
B9,,,16267.0,0.0,ET,,,0.0,,0.0,0.0,0.0,0.9309895463391326,0
B9,31.076034545898438,3.0,10732.0,0.03255208203982981,ET,3.0,,0.0,,0.0,7.0754716981132075,0.3083734650562817,1.380208278488784,0
B9,,3.0,16267.0,0.006510416407965962,ET,3.0,,0.0,,0.0,3.1578947368421053,0.13706661837034947,0.6184895587567664,0
B9,,,16267.0,0.0,ET,,,0.0,,0.0,0.0,0.0,0.29296873835846826,0
B9,,,13213.0,0.0,ET,,,0.0,,0.0,0.0,0.0,0.0846354133035575,0
B9,,4.0,13213.0,0.006510416407965962,ET,4.0,,0.0,,0.0,16.666666666666664,1.4192532804905065,0.1562499937911831,0
B9,,,13213.0,0.0,ET,,,0.0,,0.0,0.0,0.0,0.501302063413379,0
B9,,,13213.0,0.0,ET,,,0.0,,0.0,0.0,0.0,0.9049478807072687,0
B9,,,13213.0,0.0,ET,,,0.0,,0.0,0.0,0.0,0.09114582971152346,0
B9,,3.0,18049.0,0.006510416407965962,ET,3.0,,0.0,,0.0,20.0,0.8638666909886721,0.09765624611948942,0
B9,,3.0,16267.0,0.006510416407965962,ET,3.0,,0.0,,0.0,3.571428571428571,0.1521866397684161,0.5468749782691408,0
B9,,,14661.0,0.0,ET,,,0.0,,0.0,0.0,0.0,0.24739582350270656,0
B9,38.8421905040741,3.0,16267.0,0.026041665631863848,ET,3.0,,0.0,,0.0,5.0,0.17568002688169373,1.5624999379118307,0
B9,5.340590000152588,3.0,14661.0,0.019531249223897887,ET,3.0,,0.0,,0.0,4.522613065326634,0.24669337037430722,1.2955728651852263,0
B9,,,13213.0,0.0,ET,,,0.0,,0.0,0.0,0.0,0.0,0
B9,,,16267.0,0.0,ET,,,0.0,,0.0,0.0,0.0,0.039062498447795774,0
B9,,3.0,18049.0,0.006510416407965962,ET,3.0,,0.0,,0.0,3.6585365853658534,0.20114673123173987,0.5338541454532089,0
B9,56.58980369567871,3.0,10732.0,0.013020832815931924,ET,3.0,,0.0,,0.0,5.042016806722689,0.19325330706424287,0.7747395525479495,0
C2,,,7080.0,0.0,ET,,,0.0,,0.0,0.0,0.0,0.006510416407965962,0
C2,,,8717.0,0.0,ET,,,0.0,,0.0,0.0,0.0,0.16276041019914905,0
C2,,,7080.0,0.0,ET,,,0.0,,0.0,0.0,0.0,0.026041665631863848,0
C2,,,7080.0,0.0,ET,,,0.0,,0.0,0.0,0.0,0.026041665631863848,0
C2,,,7080.0,0.0,ET,,,0.0,,0.0,0.0,0.0,0.013020832815931924,0
C2,,,7080.0,0.0,ET,,,0.0,,0.0,0.0,0.0,0.0,0
C2,52.83594226837158,3.0,7080.0,0.013020832815931924,ET,3.0,,0.0,,0.0,3.6585365853658534,0.18762656673286093,1.0677082909064177,0
C2,,,7080.0,0.0,ET,,,0.0,,0.0,0.0,0.0,0.1562499937911831,0
C2,,,6381.0,0.0,ET,,,0.0,,0.0,0.0,0.0,0.006510416407965962,0
C2,,,7080.0,0.0,ET,,,0.0,,0.0,0.0,0.0,0.0,0
C2,,,7080.0,0.0,ET,,,0.0,,0.0,0.0,0.0,6.360676830582745,0
C2,,,7080.0,0.0,ET,,,0.0,,0.0,0.0,0.0,0.019531249223897887,0
C2,,,7080.0,0.0,ET,,,0.0,,0.0,0.0,0.0,0.14322916097525115,0
