ind,ch,bf,bf_deviation,isi_cv,sync_n,r_max,r,d_max,d,sfr,br,bdur_max,bdur,nspikes_burst_max,nspikes_burst,p_bursting_time,p_bursting_spike,ibi_cv,animal,group
1,17,14417,-1135.625,0.99894862,3,0.014699449,0.009164654,0,0,0.488888889,0.011111111,0.08331264,0.04214784,3,3,0.000468309,0.068181818,,P4,ET
1,18,15997,444.375,0.946181642,8,0.15551225,0.037876066,0.150030386,0.018753798,2.511111111,0.05,0.08339456,0.058208711,4,3.111111111,0.002910436,0.061946903,0.871708687,P4,ET
1,19,15997,444.375,1.025078536,11,0.049623962,0.028673264,0.150030386,0.013639126,0.466666667,0.011111111,0.19431424,0.16359424,4,3.5,0.001817714,0.083333333,,P4,ET
1,20,15997,444.375,0.949776087,12,0.116314745,0.044652538,0.150030386,0.012502532,0.95,0.016666667,0.12197888,0.059828907,3,3,0.000997148,0.052631579,0.104552087,P4,ET
1,21,15997,444.375,1.021321901,15,0.078930451,0.024346234,0.150030386,0.020004051,0.877777778,0,,,,3,,,,P4,ET
1,22,15997,444.375,0.876238588,5,0.13715651,0.045510178,0,0,10.40555556,0.011111111,0.0380928,0.03493888,4,4,0.00038821,0.004271223,,P4,ET
1,23,15997,444.375,0.993838357,10,0.036062881,0.014185735,0.150030386,0.015003039,0.35,0,,,,4,,,,P4,ET
1,24,15997,444.375,0.941510271,12,0.146505236,0.049799988,0.150030386,0.012502532,2.85,0.027777778,0.059392,0.040157184,3,3,0.001115477,0.029239766,0.541137223,P4,ET
1,25,15997,444.375,0.947015958,13,0.134189425,0.039086417,0.150030386,0.023081598,0.888888889,0.022222222,0.29057024,0.18468864,4,3.25,0.004104192,0.08125,1.14557278,P4,ET
1,26,14417,-1135.625,0.987641292,5,0.04070019,0.014718452,0.150030386,0.030006077,1.511111111,0,,,,3.25,,,,P4,ET
1,27,15997,444.375,0.88292989,13,0.06616605,0.029936678,0.150030386,0.011540799,0.772222222,0.022222222,0.20267008,0.16308224,3,3,0.00362405,0.086330935,0.342477459,P4,ET
1,28,15997,444.375,1.060982441,19,0.13669862,0.040599114,0.150030386,0.015792672,1.561111111,0.027777778,0.12197888,0.08421376,3,3,0.002339271,0.053380783,0.832927841,P4,ET
1,29,15997,444.375,1.084457093,14,0.078930451,0.028583828,0.150030386,0.032149368,0.477777778,0.016666667,0.35422208,0.152917333,3,3,0.002548622,0.104651163,0.35817837,P4,ET
1,30,15997,444.375,0.976581576,12,0.13715651,0.028703271,0.150030386,0.012502532,2.327777778,0,,,,3,,,,P4,ET
1,31,15997,444.375,1.030014162,10,0.05589218,0.027299911,0.150030386,0.015003039,0.516666667,0.011111111,0.33374208,0.2332672,3,3,0.002591858,0.064516129,,P4,ET
1,32,15997,444.375,0.891168681,12,0.15551225,0.049172534,0.150030386,0.012502532,4.7,0.072222222,0.04972544,0.027600738,5,3.230769231,0.001993387,0.04964539,0.712455586,P4,ET
2,1,14934,-6922.96875,0.79930679,2,0.018093173,0.017283729,0,0,0.255555556,0,,,,3.230769231,,,,P8,ENT
